Team,NAME,POS,AGE,HT,WT,COLLEGE
Atlanta Dream,Laeticia Amihere7,F,22,"6' 3""",185 lbs,South Carolina
Atlanta Dream,Jordin Canada3,G,28,"5' 6""",135 lbs,UCLA
Atlanta Dream,Tina Charles31,C,35,"6' 4""",192 lbs,UConn
Atlanta Dream,Nia Coffey12,F,29,"6' 1""",182 lbs,Northwestern
Atlanta Dream,Lorela Cubaj19,F,25,"6' 4""",200 lbs,Georgia Tech
Atlanta Dream,Crystal Dangerfield11,G,26,"5' 5""",130 lbs,UConn
Atlanta Dream,Allisha Gray15,G,29,"6' 0""",167 lbs,South Carolina
Atlanta Dream,Naz Hillmon00,F,24,"6' 2""",190 lbs,Michigan
Atlanta Dream,Rhyne Howard10,G,24,"6' 2""",175 lbs,Kentucky
Atlanta Dream,Haley Jones13,G,23,"6' 1""",187 lbs,Stanford
Atlanta Dream,Cheyenne Parker-Tyus32,F,31,"6' 4""",193 lbs,Middle Tennessee
Atlanta Dream,Aerial Powers23,G,30,"5' 11""",170 lbs,Michigan State
Chicago Sky,Lindsay Allen15,G,29,"5' 8""",145 lbs,Notre Dame
Chicago Sky,Kamilla Cardoso10,C,23,"6' 7""",215 lbs,South Carolina
Chicago Sky,Chennedy Carter7,G,25,"5' 9""",143 lbs,Texas A&M
Chicago Sky,Diamond DeShields0,G,29,"6' 1""",172 lbs,Tennessee
Chicago Sky,Dana Evans11,G,25,"5' 6""",145 lbs,Louisville
Chicago Sky,Kysre Gondrezick2,G,26,"5' 9""",150 lbs,West Virginia
Chicago Sky,Isabelle Harrison20,F,30,"6' 3""",183 lbs,Tennessee
Chicago Sky,Marina Mabrey4,G,27,"5' 11""",170 lbs,Notre Dame
Chicago Sky,Michaela Onyenwere12,F,24,"6' 0""",178 lbs,UCLA
Chicago Sky,Angel Reese5,F,22,"6' 3""",165 lbs,LSU
Chicago Sky,Brianna Turner21,F,27,"6' 3""",170 lbs,Notre Dame
Chicago Sky,Elizabeth Williams1,C,30,"6' 3""",200 lbs,Duke
Connecticut Sun,Rachel Banham1,G,30,"5' 10""",181 lbs,Minnesota
Connecticut Sun,DeWanna Bonner24,F,36,"6' 4""",140 lbs,Auburn
Connecticut Sun,Veronica Burton12,G,23,"5' 9""",155 lbs,Northwestern
Connecticut Sun,DiJonai Carrington21,G,26,"5' 11""",175 lbs,Baylor
Connecticut Sun,Tyasha Harris52,G,26,"5' 10""",152 lbs,South Carolina
Connecticut Sun,Moriah Jefferson4,G,30,"5' 6""",130 lbs,UConn
Connecticut Sun,Brionna Jones42,F,28,"6' 3""",215 lbs,Maryland
Connecticut Sun,Tiffany Mitchell3,G,29,"5' 9""",169 lbs,South Carolina
Connecticut Sun,Astou Ndour-Fall45,C,29,"6' 5""",173 lbs,
Connecticut Sun,Olivia Nelson-Ododa10,F,23,"6' 5""",176 lbs,UConn
Connecticut Sun,Alyssa Thomas25,F,32,"6' 2""",203 lbs,Maryland
Dallas Wings,Monique Billings25,F,28,"6' 4""",192 lbs,UCLA
Dallas Wings,Kalani Brown21,C,27,"6' 7""",245 lbs,Baylor
Dallas Wings,Jaelyn Brown18,G,25,"6' 1""",170 lbs,California
Dallas Wings,Natasha Howard6,F,32,"6' 2""",165 lbs,Florida State
Dallas Wings,Lou Lopez Senechal8,G,26,"6' 1""",155 lbs,UConn
Dallas Wings,Teaira McCowan15,C,27,"6' 7""",239 lbs,Mississippi State
Dallas Wings,Arike Ogunbowale24,G,27,"5' 8""",165 lbs,Notre Dame
Dallas Wings,Satou Sabally0,F,26,"6' 4""",175 lbs,Oregon
Dallas Wings,Jacy Sheldon4,G,23,"5' 10""",140 lbs,Ohio State
Dallas Wings,Maddy Siegrist20,F,24,"6' 2""",175 lbs,Villanova
Dallas Wings,Stephanie Soares10,C,24,"6' 6""",196 lbs,Iowa State
Dallas Wings,Sevgi Uzun1,G,26,"5' 10""",141 lbs,
Indiana Fever,Grace Berger34,G,25,"6' 0""",160 lbs,Indiana
Indiana Fever,Aliyah Boston7,F,22,"6' 5""",220 lbs,South Carolina
Indiana Fever,Caitlin Clark22,G,22,"6' 0""",152 lbs,Iowa
Indiana Fever,Damiris Dantas12,F,31,"6' 3""",214 lbs,
Indiana Fever,Temi Fagbenle14,C,31,"6' 4""",180 lbs,USC
Indiana Fever,Lexie Hull10,G,24,"6' 1""",155 lbs,Stanford
Indiana Fever,Kelsey Mitchell0,G,28,"5' 8""",160 lbs,Ohio State
Indiana Fever,Katie Lou Samuelson33,F,27,"6' 3""",163 lbs,UConn
Indiana Fever,Victaria Saxton5,F,24,"6' 2""",181 lbs,South Carolina
Indiana Fever,NaLyssa Smith1,F,23,"6' 4""",185 lbs,Baylor
Indiana Fever,Celeste Taylor6,G,22,"5' 11""",167 lbs,Ohio State
Indiana Fever,Kristy Wallace3,G,28,"5' 11""",157 lbs,Baylor
Indiana Fever,Erica Wheeler17,G,33,"5' 7""",143 lbs,Rutgers
Las Vegas Aces,Kierstan Bell1,G,24,"6' 1""",176 lbs,Florida Gulf Coast
Las Vegas Aces,Jessika Carter4,F,24,"6' 5""",,Mississippi State
Las Vegas Aces,Alysha Clark7,F,36,"5' 11""",167 lbs,Middle Tennessee
Las Vegas Aces,Sydney Colson51,G,34,"5' 8""",140 lbs,Texas A&M
Las Vegas Aces,Chelsea Gray12,G,31,"5' 11""",170 lbs,Duke
Las Vegas Aces,Megan Gustafson17,C,27,"6' 4""",195 lbs,Iowa
Las Vegas Aces,Tiffany Hayes15,G,34,"5' 10""",155 lbs,UConn
Las Vegas Aces,Kate Martin20,G,24,"6' 0""",172 lbs,Iowa
Las Vegas Aces,Kelsey Plum10,G,29,"5' 8""",145 lbs,Washington
Las Vegas Aces,Kiah Stokes41,C,31,"6' 3""",191 lbs,UConn
Las Vegas Aces,A'ja Wilson22,C,27,"6' 4""",195 lbs,South Carolina
Las Vegas Aces,Jackie Young0,G,26,"6' 0""",165 lbs,Notre Dame
Los Angeles Sparks,Cameron Brink22,F,22,"6' 4""",170 lbs,Stanford
Los Angeles Sparks,Lexie Brown4,G,29,"5' 9""",162 lbs,Duke
Los Angeles Sparks,Rae Burrell12,G,23,"6' 2""",168 lbs,Tennessee
Los Angeles Sparks,Layshia Clarendon25,G,33,"5' 9""",158 lbs,California
Los Angeles Sparks,Zia Cooke1,G,23,"5' 9""",163 lbs,South Carolina
Los Angeles Sparks,Dearica Hamby5,F,30,"6' 3""",189 lbs,Wake Forest
Los Angeles Sparks,Rickea Jackson2,F,23,"6' 2""",175 lbs,Tennessee
Los Angeles Sparks,Aari McDonald15,G,25,"5' 6""",141 lbs,Arizona
Los Angeles Sparks,Kia Nurse10,G,28,"6' 0""",181 lbs,UConn
Los Angeles Sparks,Azura Stevens23,F,28,"6' 6""",180 lbs,UConn
Los Angeles Sparks,Stephanie Talbot7,F,30,"6' 1""",192 lbs,
Los Angeles Sparks,Li Yueru28,C,25,"6' 7""",,
Minnesota Lynx,Bridget Carleton6,F,27,"6' 1""",179 lbs,Iowa State
Minnesota Lynx,Napheesa Collier24,F,27,"6' 1""",179 lbs,UConn
Minnesota Lynx,Olivia Epoupa0,G,30,"5' 5""",117 lbs,
Minnesota Lynx,Natisha Hiedeman2,G,27,"5' 8""",135 lbs,Marquette
Minnesota Lynx,Dorka Juhasz14,F,24,"6' 5""",191 lbs,UConn
Minnesota Lynx,Sika Kone3,F,21,"6' 3""",180 lbs,
Minnesota Lynx,Kayla McBride21,G,31,"5' 11""",187 lbs,Notre Dame
Minnesota Lynx,Diamond Miller1,F,23,"6' 3""",168 lbs,Maryland
Minnesota Lynx,Alissa Pili35,F,23,"6' 2""",235 lbs,Utah
Minnesota Lynx,Alanna Smith8,F,27,"6' 4""",180 lbs,Stanford
Minnesota Lynx,Courtney Williams10,G,30,"5' 8""",139 lbs,South Florida
Minnesota Lynx,Cecilia Zandalasini9,F,28,"6' 2""",175 lbs,
